2026-09-19T22:11:08Z INFO Logging to /tmp/logs/update_2026-09-19T22-11-08Z.log.
2026-09-19T22:11:08Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-19T22:11:08Z INFO Processing 500 items (49506 already recorded).
2026-09-19T22:11:09Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T22:11:09Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-19T22:11:11Z INFO [2/500] 072642e8-131a-4910-bd9f-5125fc720238: cophenetic index 3004; 1.2 s; peak memory 84 MiB.
2026-09-19T22:11:12Z INFO [3/500] 0726ec64-201e-4018-8830-5fdc0a1b8196: cophenetic index 581; 1.0 s; peak memory 84 MiB.
2026-09-19T22:11:13Z INFO [4/500] 07296b54-e9b6-4d23-8427-6e9bff940df8: cophenetic index 3004; 1.3 s; peak memory 85 MiB.
2026-09-19T22:11:21Z INFO [5/500] 07297b87-9014-48a7-ab6b-a3e843d5c837: cophenetic index 122716; 8.0 s; peak memory 100 MiB.
2026-09-19T22:11:22Z INFO [6/500] 0729bf5a-27fe-42b1-a38d-59191d07e171: cophenetic index 24106; 1.4 s; peak memory 100 MiB.
2026-09-19T22:11:24Z INFO [7/500] 072b1466-36a3-495f-8b27-2ae0a383b68e: cophenetic index 1006; 1.3 s; peak memory 100 MiB.
2026-09-19T22:11:25Z INFO [8/500] 072b2dfb-9be4-41f4-9899-e59b66e4f699: cophenetic index 33958; 1.3 s; peak memory 100 MiB.
2026-09-19T22:11:26Z INFO [9/500] 072becdf-9505-48b9-a492-00757bad8b8f: cophenetic index 2625; 1.5 s; peak memory 100 MiB.
2026-09-19T22:11:28Z INFO [10/500] 072c412e-3b37-47d9-ab4a-eaca817a1f40: cophenetic index 2625; 1.7 s; peak memory 100 MiB.
2026-09-19T22:11:29Z INFO [11/500] 072dfe24-49e0-4d9b-9d8d-d816f83c332a: cophenetic index 624; 1.0 s; peak memory 100 MiB.
2026-09-19T22:11:30Z INFO [12/500] 072e4615-51f0-4f2d-82be-e9294e131b9f: cophenetic index 624; 1.0 s; peak memory 100 MiB.
2026-09-19T22:11:31Z INFO [13/500] 072efaa1-1fbf-4f4d-b09c-8e8ff53b94e1: cophenetic index 1087; 1.3 s; peak memory 100 MiB.
2026-09-19T22:11:32Z INFO [14/500] 0730641a-570a-47dc-a507-0698ceb17478: cophenetic index 590; 1.0 s; peak memory 100 MiB.
2026-09-19T22:11:37Z INFO [15/500] 073080ed-5854-42fd-ae86-1c508b7aa193: cophenetic index 30519; 4.4 s; peak memory 100 MiB.
2026-09-19T22:11:48Z INFO [16/500] 073127d5-1e41-460a-8efe-787c56873901: cophenetic index 242575; 11.0 s; peak memory 107 MiB.
2026-09-19T22:11:49Z INFO [17/500] 07315a1d-372d-4b79-a9d5-89b271611d0b: cophenetic index 99120; 1.6 s; peak memory 107 MiB.
2026-09-19T22:11:51Z INFO [18/500] 0731f941-e66c-4925-b94d-845c825e01aa: cophenetic index 33968; 1.5 s; peak memory 107 MiB.
2026-09-19T22:11:55Z INFO [19/500] 0732018e-73cf-4526-8473-d4b7e73a1f26: cophenetic index 8834; 3.8 s; peak memory 107 MiB.
2026-09-19T22:11:58Z INFO [20/500] 0732599b-1232-448a-a04d-1aa0dbd3cdc8: cophenetic index 2027; 3.4 s; peak memory 107 MiB.
2026-09-19T22:12:00Z INFO [21/500] 0732ec30-9f94-4432-bba0-377f08a8b842: cophenetic index 33968; 1.5 s; peak memory 107 MiB.
