2026-09-21T14:54:18Z INFO Logging to /tmp/logs/update_2026-09-21T14-54-18Z.log.
2026-09-21T14:54:18Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T14:54:18Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:54:19Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:19Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:54:20Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:20Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:54:21Z INFO [3/500] 0a3e413d-4cc9-469c-9060-20f7d244f468: cophenetic index 3087; 0.8 s; peak memory 83 MiB.
2026-09-21T14:54:21Z INFO [4/500] 0a3ee913-b6cb-49c3-a143-971591e7a401: cophenetic index 624; 0.5 s; peak memory 83 MiB.
2026-09-21T14:54:22Z INFO [5/500] 0a3ef003-0a6b-49f1-81d1-4be327a71f1f: cophenetic index 431; 0.5 s; peak memory 83 MiB.
2026-09-21T14:54:23Z INFO [6/500] 0a3effe8-0601-4c43-a298-07ee9e1d09b3: cophenetic index 8258; 1.6 s; peak memory 85 MiB.
2026-09-21T14:54:27Z INFO [7/500] 0a3f2d6f-1226-4bee-a58c-17978c6ade8f: cophenetic index 245116; 3.8 s; peak memory 101 MiB.
2026-09-21T14:54:28Z INFO [8/500] 0a408e71-759b-4069-99e6-a63f58264ec6: cophenetic index 2625; 0.6 s; peak memory 101 MiB.
2026-09-21T14:54:29Z INFO [9/500] 0a413005-4271-4cb0-a1f4-33ffe5d2d7dc: cophenetic index 2625; 0.8 s; peak memory 101 MiB.
2026-09-21T14:54:29Z INFO [10/500] 0a4170e6-458e-4516-8394-e44c61d7c5af: cophenetic index 624; 0.6 s; peak memory 101 MiB.
2026-09-21T14:54:32Z INFO [11/500] 0a42a433-dd02-4fb3-a839-47710f124011: cophenetic index 5466; 3.1 s; peak memory 101 MiB.
2026-09-21T14:54:34Z INFO [12/500] 0a432cf3-408a-4876-8592-0d31ad575e08: cophenetic index 34658; 1.5 s; peak memory 101 MiB.
2026-09-21T14:54:34Z INFO [13/500] 0a44472d-9610-4df2-8831-af43bb5f6a52: cophenetic index 624; 0.6 s; peak memory 101 MiB.
2026-09-21T14:54:35Z INFO [14/500] 0a44865e-c13e-4a9e-b8f3-304dd87406be: cophenetic index 579; 0.3 s; peak memory 101 MiB.
2026-09-21T14:54:35Z INFO [15/500] 0a4493eb-6b5a-4235-a497-0706276e8289: cophenetic index 3004; 0.7 s; peak memory 101 MiB.
2026-09-21T14:54:36Z INFO [16/500] 0a44b2c4-8304-4209-8268-ccc756155ce0: cophenetic index 2682; 1.1 s; peak memory 101 MiB.
2026-09-21T14:54:37Z INFO [17/500] 0a462b0e-ff18-40a6-a4c6-f9c3bfea73c0: cophenetic index 2923; 0.6 s; peak memory 101 MiB.
2026-09-21T14:54:38Z INFO [18/500] 0a46d490-5c46-4d7c-b737-97c0c62d09f0: cophenetic index 624; 0.5 s; peak memory 101 MiB.
2026-09-21T14:54:38Z INFO [19/500] 0a46ecef-ca86-4870-beae-fe161f2b46b4: cophenetic index 766; 0.8 s; peak memory 101 MiB.
2026-09-21T14:54:40Z INFO [20/500] 0a479461-f4ec-424f-a9c9-ccb1627fad4a: cophenetic index 457; 1.2 s; peak memory 101 MiB.
2026-09-21T14:54:42Z INFO [21/500] 0a47aa75-b2ab-4f35-8acf-b1734b22df8a: cophenetic index 2333; 2.2 s; peak memory 101 MiB.
2026-09-21T14:54:48Z INFO [22/500] 0a486592-6b4d-4cd4-a0d7-f3ec3e3a061d: cophenetic index 302942; 6.6 s; peak memory 110 MiB.
2026-09-21T14:54:49Z INFO [23/500] 0a487b28-4673-4a1a-a316-82eb7d51eae1: cophenetic index 554; 0.7 s; peak memory 110 MiB.
2026-09-21T14:54:55Z INFO [24/500] 0a4891d9-d457-401f-95fd-673fcdae3461: cophenetic index 207098; 6.0 s; peak memory 114 MiB.
2026-09-21T14:54:56Z INFO [25/500] 0a48b05f-a1b9-43d0-977a-054ee4e293b5: cophenetic index 2609; 1.3 s; peak memory 114 MiB.
2026-09-21T14:55:01Z INFO [26/500] 0a4992da-91fd-4ed4-aed5-79290becc1dd: cophenetic index 147372; 4.5 s; peak memory 114 MiB.
2026-09-21T14:55:02Z INFO [27/500] 0a4a1fc5-07a6-46a9-bdc6-bbd8a6c36b44: cophenetic index 33986; 1.0 s; peak memory 114 MiB.
2026-09-21T14:55:02Z INFO [28/500] 0a4a36a4-ee0e-46f5-9378-a7397376d7ee: cophenetic index 649; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:03Z INFO [29/500] 0a4a4498-aeff-4833-9363-0387e2331277: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:04Z INFO [30/500] 0a4a7354-988d-48aa-8cad-3f4afa835834: cophenetic index 638; 0.9 s; peak memory 114 MiB.
2026-09-21T14:55:05Z INFO [31/500] 0a4b0eb0-937b-46c7-a7b3-73d22224aae6: cophenetic index 33998; 0.8 s; peak memory 114 MiB.
2026-09-21T14:55:05Z INFO [32/500] 0a4c8a9c-f33c-4cf2-8a74-54acd3dba547: cophenetic index 2923; 0.5 s; peak memory 114 MiB.
2026-09-21T14:55:06Z INFO [33/500] 0a4cf08d-895b-476f-a400-357b580693f9: cophenetic index 895; 1.1 s; peak memory 114 MiB.
2026-09-21T14:55:07Z INFO [34/500] 0a4d68eb-4086-411c-a19d-218416a16b5b: cophenetic index 2625; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:07Z INFO [35/500] 0a4d896f-d0cb-416c-92b3-31b109ce8bdc: cophenetic index 448; 0.5 s; peak memory 114 MiB.
2026-09-21T14:55:08Z INFO [36/500] 0a4d9257-ff17-4774-8e47-ab872e2e007f: cophenetic index 99120; 0.8 s; peak memory 114 MiB.
2026-09-21T14:55:10Z INFO [37/500] 0a4e34e8-e474-46f6-9e9e-a7365a2dc3c6: cophenetic index 5473; 1.6 s; peak memory 114 MiB.
2026-09-21T14:55:13Z INFO [38/500] 0a4e94bb-17d0-4462-9458-7fb36094b2c4: cophenetic index 53342; 3.0 s; peak memory 114 MiB.
2026-09-21T14:55:14Z INFO [39/500] 0a4ecbe7-9b65-46a7-8642-f6debdcd8341: cophenetic index 2005; 1.1 s; peak memory 114 MiB.
2026-09-21T14:55:15Z INFO [40/500] 0a4f2257-66c4-4a0b-a413-fedf26ff4387: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:15Z INFO [41/500] 0a4fe092-2727-440f-87d8-e128adf905d9: cophenetic index 2625; 0.7 s; peak memory 114 MiB.
2026-09-21T14:55:16Z INFO [42/500] 0a50015e-8d46-4c65-902a-b56fe7749210: cophenetic index 624; 0.5 s; peak memory 114 MiB.
2026-09-21T14:55:16Z INFO [43/500] 0a500882-ed04-4f9e-9d7e-a0685158f67b: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:20Z INFO [44/500] 0a503a89-c8c5-4ff2-a0f7-1c9c5abc2bc8: cophenetic index 85957; 3.6 s; peak memory 114 MiB.
2026-09-21T14:55:21Z INFO [45/500] 0a515ee3-452f-4bb3-a29b-ce478b101fff: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:21Z INFO [46/500] 0a52de7a-c40e-4a57-9884-155936d34b6f: cophenetic index 3004; 0.7 s; peak memory 114 MiB.
2026-09-21T14:55:24Z INFO [47/500] 0a53bfbc-2c9c-49d4-a0ff-143bae8a1d93: cophenetic index 82682; 3.3 s; peak memory 114 MiB.
2026-09-21T14:55:26Z INFO [48/500] 0a548989-fea2-4f84-b7d2-fec11f2b2e46: cophenetic index 3644; 1.4 s; peak memory 114 MiB.
2026-09-21T14:55:28Z INFO [49/500] 0a56b867-5c3e-4e52-aea0-c506489bed69: cophenetic index 23026; 2.1 s; peak memory 114 MiB.
2026-09-21T14:55:28Z INFO [50/500] 0a56cee9-3567-40e0-89db-3c21841a27a9: cophenetic index 527; 0.3 s; peak memory 114 MiB.
2026-09-21T14:55:28Z INFO [50/500] 0a56cee9-3567-40e0-89db-3c21841a27a9: checkpointed 51049 records.
2026-09-21T14:55:29Z INFO [51/500] 0a58bb1e-432d-440b-8e5d-460cbc8c120a: cophenetic index 766; 0.8 s; peak memory 114 MiB.
2026-09-21T14:55:30Z INFO [52/500] 0a598248-23db-455d-86e1-4b2e0eaf8056: cophenetic index 490; 0.3 s; peak memory 114 MiB.
2026-09-21T14:55:30Z INFO [53/500] 0a599d6c-4983-4f03-90bd-2fb0c1adb335: cophenetic index 3004; 0.6 s; peak memory 114 MiB.
2026-09-21T14:55:31Z INFO [54/500] 0a59ac6f-d869-43d8-a5eb-0e3d17922e96: cophenetic index 580; 0.7 s; peak memory 114 MiB.
2026-09-21T14:55:32Z INFO [55/500] 0a5b2449-7d34-403d-bd5b-c263e8fade21: cophenetic index 2469; 1.5 s; peak memory 114 MiB.
2026-09-21T14:55:33Z INFO [56/500] 0a5c07d8-6802-4036-a0c0-5d616b1d1067: cophenetic index 624; 0.5 s; peak memory 114 MiB.
2026-09-21T14:55:34Z INFO [57/500] 0a5c3b75-f690-4ae2-9e54-8de2920a39cc: cophenetic index 3192; 0.7 s; peak memory 114 MiB.
2026-09-21T14:55:35Z INFO [58/500] 0a5ed463-2038-486f-a08d-9212764cb87d: cophenetic index 99150; 1.1 s; peak memory 114 MiB.
2026-09-21T14:55:36Z INFO [59/500] 0a5ed989-8af7-48c8-8802-9be080414b9c: cophenetic index 2496; 1.0 s; peak memory 114 MiB.
2026-09-21T14:55:40Z INFO [60/500] 0a5f6405-d361-4d9e-8fde-8ca00be0f3b4: cophenetic index 162235410; 4.5 s; peak memory 258 MiB.
2026-09-21T14:55:41Z INFO [61/500] 0a607bf6-5b59-4d7a-a48f-13b03aa469cb: cophenetic index 33986; 0.8 s; peak memory 258 MiB.
2026-09-21T14:55:42Z INFO [62/500] 0a60cc59-486f-43aa-bb90-9270b6af8092: cophenetic index 2570; 0.9 s; peak memory 258 MiB.
2026-09-21T14:55:42Z INFO [63/500] 0a612d67-854d-4f5a-a6a9-bbeeae6a647a: cophenetic index 624; 0.5 s; peak memory 258 MiB.
2026-09-21T14:55:43Z INFO [64/500] 0a62e368-b70a-4504-91f5-e439a558817b: cophenetic index 490; 0.4 s; peak memory 258 MiB.
2026-09-21T14:55:44Z INFO [65/500] 0a6365f8-c9b9-418e-9628-56fac7fae3a2: cophenetic index 33998; 0.9 s; peak memory 258 MiB.
2026-09-21T14:55:44Z INFO [66/500] 0a641dee-6a01-42c5-80a4-4ab5e5c9a54e: cophenetic index 624; 0.7 s; peak memory 258 MiB.
2026-09-21T14:55:45Z INFO [67/500] 0a64ba62-f952-46ba-921f-6376c4f690be: cophenetic index 3004; 0.6 s; peak memory 258 MiB.
2026-09-21T14:55:46Z INFO [68/500] 0a65dc69-ad15-40be-a746-0af193b39963: cophenetic index 2974; 0.7 s; peak memory 258 MiB.
2026-09-21T14:55:46Z INFO [69/500] 0a6628e9-b386-4301-85d5-d389a5b2a333: cophenetic index 401; 0.3 s; peak memory 258 MiB.
2026-09-21T14:55:46Z INFO [70/500] 0a66ab88-6cdf-4beb-9846-a3f3443b4ee0: cophenetic index 649; 0.6 s; peak memory 258 MiB.
2026-09-21T14:55:47Z INFO [71/500] 0a672b5c-3c4d-4895-8f45-f0546d7f4c5b: cophenetic index 34123; 0.6 s; peak memory 258 MiB.
2026-09-21T14:55:48Z INFO [72/500] 0a68ad89-ace2-4814-b543-015b06a87885: cophenetic index 1570; 0.9 s; peak memory 258 MiB.
