2026-09-21T23:03:12Z INFO Logging to /tmp/logs/update_2026-09-21T23-03-12Z.log.
2026-09-21T23:03:12Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T23:03:12Z INFO Processing 500 items (51499 already recorded).
2026-09-21T23:03:13Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:13Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T23:03:14Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:14Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:03:17Z INFO [3/500] 0b58ae3b-e4b9-4708-9aeb-79635eccbbce: cophenetic index 87573; 3.1 s; peak memory 92 MiB.
2026-09-21T23:03:20Z INFO [4/500] 0b58ffb9-0c33-4c24-b376-ce14e7410c8f: cophenetic index 160330; 3.6 s; peak memory 99 MiB.
2026-09-21T23:03:21Z INFO [5/500] 0b59310d-3d0c-49ee-910d-0db31f6d93ac: cophenetic index 2570; 0.6 s; peak memory 99 MiB.
2026-09-21T23:03:26Z INFO [6/500] 0b599b0b-411a-4d6c-854c-355df753ebd1: cophenetic index 89238; 4.9 s; peak memory 101 MiB.
2026-09-21T23:03:26Z INFO [7/500] 0b59da59-b4c8-430e-83c5-75f3af756e8a: cophenetic index 490; 0.3 s; peak memory 101 MiB.
2026-09-21T23:03:27Z INFO [8/500] 0b5a5155-035b-4762-9292-e832c13ce718: cophenetic index 624; 0.4 s; peak memory 101 MiB.
2026-09-21T23:03:27Z INFO [9/500] 0b5ad7a4-e520-460d-81f5-dad14f04ab31: cophenetic index 624; 0.5 s; peak memory 101 MiB.
2026-09-21T23:03:29Z INFO [10/500] 0b5bb620-19dc-494a-8aba-697fce76c7a8: cophenetic index 38460; 1.6 s; peak memory 101 MiB.
2026-09-21T23:03:30Z INFO [11/500] 0b5bf2a0-6e1d-4a44-a80e-f165d98e495f: cophenetic index 5473; 1.6 s; peak memory 101 MiB.
2026-09-21T23:03:31Z INFO [12/500] 0b5d01fd-38fd-465f-bcb6-a51abe2f2405: cophenetic index 33962; 1.0 s; peak memory 101 MiB.
2026-09-21T23:03:32Z INFO [13/500] 0b5d3280-19f1-4757-be1e-71c5f2cfc699: cophenetic index 624; 0.5 s; peak memory 101 MiB.
2026-09-21T23:03:32Z INFO [14/500] 0b5e0512-ed0d-40ad-a7ef-94ade1d447b1: cophenetic index 490; 0.4 s; peak memory 101 MiB.
2026-09-21T23:03:33Z INFO [15/500] 0b5e1c0e-ff4b-4835-a120-1eba09f5ab02: cophenetic index 1470; 0.5 s; peak memory 101 MiB.
2026-09-21T23:03:34Z INFO [16/500] 0b5f2f7b-d698-417a-99ec-b65554b210f4: cophenetic index 1130; 1.0 s; peak memory 101 MiB.
2026-09-21T23:03:34Z INFO [17/500] 0b603f9b-5d80-4f86-b911-ccc735e3ded3: cophenetic index 23975; 0.5 s; peak memory 101 MiB.
2026-09-21T23:03:35Z INFO [18/500] 0b613280-c877-47f9-8153-e86b86c9a55b: cophenetic index 99138; 0.8 s; peak memory 101 MiB.
2026-09-21T23:03:36Z INFO [19/500] 0b614824-62c0-46aa-b1f1-e889b9225e13: cophenetic index 33998; 1.4 s; peak memory 101 MiB.
2026-09-21T23:03:39Z INFO [20/500] 0b616eed-1b64-4f35-bcc1-ae670df9b5e3: cophenetic index 2822; 2.2 s; peak memory 101 MiB.
2026-09-21T23:03:39Z INFO [21/500] 0b61705d-ecc2-408d-8429-629168f40988: cophenetic index 937; 0.6 s; peak memory 101 MiB.
2026-09-21T23:03:40Z INFO [22/500] 0b6182a5-958f-40b9-9ca5-f2edf2f8078d: cophenetic index 3087; 0.5 s; peak memory 101 MiB.
2026-09-21T23:03:40Z INFO [23/500] 0b61dcc5-a904-439f-a930-6d46308aa0ec: cophenetic index 3004; 0.6 s; peak memory 101 MiB.
2026-09-21T23:03:41Z INFO [24/500] 0b62044e-b3aa-4803-80ea-be0eaf70c770: cophenetic index 3135; 0.4 s; peak memory 101 MiB.
2026-09-21T23:03:41Z INFO [25/500] 0b6349ce-2ee4-4ae3-afa8-f311e198c027: cophenetic index 624; 0.4 s; peak memory 101 MiB.
2026-09-21T23:03:44Z INFO [26/500] 0b640a6e-336d-43dd-a08a-a46a0c7b024e: cophenetic index 87573; 3.3 s; peak memory 101 MiB.
2026-09-21T23:03:45Z INFO [27/500] 0b64b9d9-e596-4a07-a9bb-4773a7e04d2e: cophenetic index 3087; 0.7 s; peak memory 101 MiB.
2026-09-21T23:03:52Z INFO [28/500] 0b657ba7-905c-4e9f-9317-3c8ffff7b2de: cophenetic index 226906; 6.9 s; peak memory 107 MiB.
2026-09-21T23:03:53Z INFO [29/500] 0b65f3d8-721b-42f1-beaa-f08b946bc82d: cophenetic index 1430; 0.8 s; peak memory 107 MiB.
2026-09-21T23:03:53Z INFO [30/500] 0b66b318-d18e-40be-88f4-e779b1310831: cophenetic index 624; 0.5 s; peak memory 107 MiB.
2026-09-21T23:03:54Z INFO [31/500] 0b66d777-d24f-4608-9c94-8a619602c60f: cophenetic index 624; 0.7 s; peak memory 107 MiB.
2026-09-21T23:03:54Z INFO [32/500] 0b675e34-d705-4652-bb94-893f62313c42: cophenetic index 624; 0.5 s; peak memory 107 MiB.
2026-09-21T23:03:55Z INFO [33/500] 0b67f46a-48c6-498c-a1cb-9e3d8d1eccbf: cophenetic index 579; 0.3 s; peak memory 107 MiB.
2026-09-21T23:03:55Z INFO [34/500] 0b689776-01b3-42fc-a051-4889b81a4913: cophenetic index 624; 0.5 s; peak memory 107 MiB.
2026-09-21T23:03:56Z INFO [35/500] 0b689c10-201f-416e-8eee-0eeb8a0f093e: cophenetic index 3004; 0.5 s; peak memory 107 MiB.
2026-09-21T23:03:56Z INFO [36/500] 0b68ba79-9d50-4d5f-99a0-dd40f18dd83a: cophenetic index 690; 0.4 s; peak memory 107 MiB.
2026-09-21T23:03:56Z INFO [37/500] 0b68e9c0-71d7-4740-81cc-08849eea04c5: cophenetic index 479; 0.4 s; peak memory 107 MiB.
2026-09-21T23:04:01Z INFO [38/500] 0b690596-58ec-4936-8d57-64ae7fd2c548: cophenetic index 386158; 4.4 s; peak memory 108 MiB.
2026-09-21T23:04:02Z INFO [39/500] 0b6971ab-fee4-4331-81ae-b8efd24a227d: cophenetic index 99138; 1.2 s; peak memory 108 MiB.
2026-09-21T23:04:03Z INFO [40/500] 0b6aefac-2c7a-4600-9981-07cb99993067: cophenetic index 2570; 0.6 s; peak memory 108 MiB.
2026-09-21T23:04:06Z INFO [41/500] 0b6b57ee-6770-400d-bc83-9846a121ae4b: cophenetic index 12100; 3.5 s; peak memory 108 MiB.
2026-09-21T23:04:08Z INFO [42/500] 0b6b7362-b5ac-40c6-8ca3-7f66b662e269: cophenetic index 2391; 1.5 s; peak memory 108 MiB.
2026-09-21T23:04:11Z INFO [43/500] 0b6b9c26-7db8-4550-9e8e-efef71397fa3: cophenetic index 85330; 3.5 s; peak memory 109 MiB.
2026-09-21T23:04:12Z INFO [44/500] 0b6c6a33-f400-4f68-bca2-e8297f647599: cophenetic index 554; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:15Z INFO [45/500] 0b6de141-5af5-4d19-9536-d22cb9ee9621: cophenetic index 13267; 3.6 s; peak memory 109 MiB.
2026-09-21T23:04:16Z INFO [46/500] 0b6e2a14-138c-4c60-aa53-1e0a55cef5c2: cophenetic index 624; 0.4 s; peak memory 109 MiB.
2026-09-21T23:04:17Z INFO [47/500] 0b6f2098-f103-414d-8ef1-b1fbc32c54eb: cophenetic index 2609; 1.0 s; peak memory 109 MiB.
2026-09-21T23:04:17Z INFO [48/500] 0b6fd0e9-b5dd-4fe4-b51d-8b1e645e1623: cophenetic index 624; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:23Z INFO [49/500] 0b700897-cb53-49eb-89f1-fbaea9894c1e: cophenetic index 118369; 5.3 s; peak memory 109 MiB.
2026-09-21T23:04:24Z INFO [50/500] 0b703e93-1d7f-4d99-9331-472b7c528156: cophenetic index 2402; 1.4 s; peak memory 109 MiB.
2026-09-21T23:04:24Z INFO [50/500] 0b703e93-1d7f-4d99-9331-472b7c528156: checkpointed 51547 records.
2026-09-21T23:04:25Z INFO [51/500] 0b70791e-752e-47aa-a3b5-56daab030ab5: cophenetic index 684; 0.8 s; peak memory 109 MiB.
2026-09-21T23:04:25Z INFO [52/500] 0b718911-e114-47c8-85a5-8cf7be84a2c6: cophenetic index 641; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:30Z INFO [53/500] 0b71a3f1-213f-4719-9b64-db3a97b26444: cophenetic index 245635; 5.2 s; peak memory 109 MiB.
2026-09-21T23:04:32Z INFO [54/500] 0b722f97-7ffe-48d2-a8fc-895d8b68b3bc: cophenetic index 2391; 1.4 s; peak memory 109 MiB.
2026-09-21T23:04:32Z INFO [55/500] 0b7265ff-abf4-4800-986f-e6b310ca261a: cophenetic index 729; 0.3 s; peak memory 109 MiB.
2026-09-21T23:04:33Z INFO [56/500] 0b72fecf-9cac-4775-8171-09f6520e983d: cophenetic index 3004; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:33Z INFO [57/500] 0b738676-5a2e-4035-8b5d-387f951983cd: cophenetic index 624; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:34Z INFO [58/500] 0b7392bd-7771-448a-a051-e3bdab2e88c4: cophenetic index 581; 0.5 s; peak memory 109 MiB.
2026-09-21T23:04:35Z INFO [59/500] 0b73a2ac-8ee3-4f8e-8a43-aee5e4464819: cophenetic index 33307; 1.6 s; peak memory 109 MiB.
2026-09-21T23:04:40Z INFO [60/500] 0b73cc22-f34e-418e-b968-e7b9b8e62138: cophenetic index 48337; 5.2 s; peak memory 109 MiB.
2026-09-21T23:04:41Z INFO [61/500] 0b742ffd-9b52-4869-9ca3-9c7aed48b5bd: cophenetic index 624; 0.6 s; peak memory 109 MiB.
2026-09-21T23:04:46Z INFO [62/500] 0b743d42-89d1-4030-b9c7-efe487b4eba4: cophenetic index 33602; 5.1 s; peak memory 109 MiB.
2026-09-21T23:04:47Z INFO [63/500] 0b78033f-e5f5-42be-a299-70f31a836155: cophenetic index 2570; 0.6 s; peak memory 109 MiB.
