2026-09-23T13:24:58Z INFO Logging to /tmp/logs/update_2026-09-23T13-24-58Z.log.
2026-09-23T13:24:58Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-23T13:24:58Z INFO Processing 500 items (52992 already recorded).
2026-09-23T13:24:59Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:24:59Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-23T13:25:00Z INFO [2/500] 03cdc3ac-ee4a-4073-996f-67362a1e8905: cophenetic index 439; 0.5 s; peak memory 83 MiB.
2026-09-23T13:25:00Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:25:00Z WARNING [3/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-23T13:25:01Z WARNING 0dec427d-4db4-44c3-988a-c37959ceaff3: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:25:01Z WARNING [4/500] 0dec427d-4db4-44c3-988a-c37959ceaff3: leaving unrecorded for a later run to retry.
2026-09-23T13:25:03Z INFO [5/500] 0e716bcf-d523-4825-a874-8fe69dfc0527: cophenetic index 2402; 1.4 s; peak memory 86 MiB.
2026-09-23T13:25:03Z INFO [6/500] 0e718c7a-054c-4dbc-9460-032d78886ce2: cophenetic index 1192; 0.4 s; peak memory 86 MiB.
2026-09-23T13:25:04Z INFO [7/500] 0e7193fa-d196-4c5b-85df-285586231781: cophenetic index 681; 0.6 s; peak memory 86 MiB.
2026-09-23T13:25:04Z INFO [8/500] 0e72b50e-929d-4ea9-8e5a-816d1b03e2e2: cophenetic index 2625; 0.6 s; peak memory 87 MiB.
2026-09-23T13:25:05Z INFO [9/500] 0e7317b5-f4b7-4255-8ece-11ace8be15d1: cophenetic index 624; 0.5 s; peak memory 87 MiB.
2026-09-23T13:25:06Z INFO [10/500] 0e733d9f-8738-4da3-9144-98a2948af7aa: cophenetic index 2105; 1.0 s; peak memory 87 MiB.
2026-09-23T13:25:07Z INFO [11/500] 0e747274-378b-4075-88c2-263d72d8a622: cophenetic index 811; 1.0 s; peak memory 87 MiB.
2026-09-23T13:25:07Z INFO [12/500] 0e7489dc-e3e5-48e1-bc8d-5fe40910b3f4: cophenetic index 605; 0.6 s; peak memory 87 MiB.
2026-09-23T13:25:08Z INFO [13/500] 0e75489e-5aa8-486f-827a-a04d2343f4d9: cophenetic index 490; 0.4 s; peak memory 87 MiB.
2026-09-23T13:25:09Z INFO [14/500] 0e75f14e-fde4-4cfa-8702-84d418c7f0b3: cophenetic index 2570; 0.8 s; peak memory 88 MiB.
2026-09-23T13:25:09Z INFO [15/500] 0e75f291-d597-4d5f-b8f6-4f9d1c5b3a3f: cophenetic index 729; 0.3 s; peak memory 88 MiB.
2026-09-23T13:25:10Z INFO [16/500] 0e76b309-62f7-46df-814b-70e229bd1faa: cophenetic index 2625; 1.1 s; peak memory 88 MiB.
2026-09-23T13:25:11Z INFO [17/500] 0e77308f-d211-4307-bc93-0e9accc5e842: cophenetic index 23511; 0.6 s; peak memory 88 MiB.
2026-09-23T13:25:11Z INFO [18/500] 0e777e49-e6ae-49c8-a099-d6391bab6abd: cophenetic index 411; 0.8 s; peak memory 88 MiB.
2026-09-23T13:25:14Z INFO [19/500] 0e7796ac-b9f8-46ef-a25f-42585f4e424d: cophenetic index 9548; 3.1 s; peak memory 93 MiB.
