2026-09-24T13:19:26Z INFO Logging to /tmp/logs/update_2026-09-24T13-19-26Z.log.
2026-09-24T13:19:26Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-24T13:19:26Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:19:27Z INFO [1/500] 004dcca0-34c8-4b04-8229-bb49b3d00a29: cophenetic index 797; 1.1 s; peak memory 79 MiB.
2026-09-24T13:19:29Z INFO [2/500] 00cec8b0-5164-4a3a-a02c-946d70edfb6b: cophenetic index 959; 1.6 s; peak memory 80 MiB.
2026-09-24T13:19:30Z INFO [3/500] 018d6083-942f-4322-948a-5416034d58b0: cophenetic index 959; 1.2 s; peak memory 80 MiB.
2026-09-24T13:19:32Z INFO [4/500] 019f7ec4-5618-4756-8fd4-f19708b07477: cophenetic index 959; 1.4 s; peak memory 80 MiB.
2026-09-24T13:19:33Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:19:33Z WARNING [5/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-24T13:19:34Z INFO [6/500] 02a91933-a207-4f1f-828e-1884d7d1ca6d: cophenetic index 959; 1.6 s; peak memory 81 MiB.
2026-09-24T13:19:36Z INFO [7/500] 02c7245a-55cc-4225-9a80-1763a746f953: cophenetic index 797; 1.4 s; peak memory 81 MiB.
2026-09-24T13:19:37Z INFO [8/500] 0347b886-5145-4ff5-b921-7ddb454bbd7a: cophenetic index 959; 1.6 s; peak memory 82 MiB.
2026-09-24T13:19:39Z INFO [9/500] 045e19bf-4aef-45d1-81ec-7f9ad0d28c62: cophenetic index 751; 1.4 s; peak memory 82 MiB.
2026-09-24T13:19:40Z INFO [10/500] 05676ec9-7f1c-4840-8939-05161b45a42c: cophenetic index 751; 1.0 s; peak memory 82 MiB.
2026-09-24T13:19:41Z INFO [11/500] 062eaefe-3055-4a5d-9558-32662cbc1f93: cophenetic index 901; 1.2 s; peak memory 82 MiB.
2026-09-24T13:19:42Z INFO [12/500] 06a5808d-5e32-4eb4-be2e-67c9d09659d8: cophenetic index 1554; 1.5 s; peak memory 82 MiB.
2026-09-24T13:19:44Z INFO [13/500] 072c019d-53f2-4cc1-b181-ec9218dcf84d: cophenetic index 959; 1.6 s; peak memory 82 MiB.
2026-09-24T13:19:45Z INFO [14/500] 0874236c-84ca-4a13-8c5a-00aea7f2dbbf: cophenetic index 709; 1.2 s; peak memory 82 MiB.
2026-09-24T13:19:46Z INFO [15/500] 08d66869-7fa3-4e85-93dc-143a69068a57: cophenetic index 797; 1.2 s; peak memory 82 MiB.
2026-09-24T13:19:47Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-24T13:19:47Z WARNING [16/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-24T13:19:48Z INFO [17/500] 091525e3-b436-4d91-b3ef-0bd761356383: cophenetic index 797; 1.3 s; peak memory 82 MiB.
2026-09-24T13:19:50Z INFO [18/500] 09d932df-3e9d-4b8f-af27-95b57bea2495: cophenetic index 959; 1.3 s; peak memory 82 MiB.
2026-09-24T13:19:51Z INFO [19/500] 0a61a66c-eafa-45eb-9f9d-5eca1dcf6e91: cophenetic index 901; 1.3 s; peak memory 82 MiB.
2026-09-24T13:19:52Z INFO [20/500] 0a73ada3-fef1-4414-9aa5-41e6ec146645: cophenetic index 901; 1.5 s; peak memory 82 MiB.
2026-09-24T13:19:54Z INFO [21/500] 0bbe4ddd-6289-4caa-8ad9-70bfc9f9bdc3: cophenetic index 901; 1.2 s; peak memory 82 MiB.
